Alabama,11,58,13
Georgia,13,47,25
LSU,14,45,25
Oklahoma,6,41,31
Ohio State,7,44,32
Florida,5,36,40
Auburn,3,43,37
Texas A&M,5,45,31
Texas,7,33,33
Clemson,4,46,25
Penn State,4,36,38
Michigan,2,40,41
Oregon,3,43,33
Notre Dame,1,46,35
Florida State,1,38,35
USC,4,32,47
Tennessee,1,31,51
Washington,2,32,37
South Carolina,1,41,40
Nebraska,3,26,46
Stanford,1,23,52
Mississippi State,2,18,51
Miami-FL,1,21,59
Ole Miss,0,20,63
Arkansas,2,16,61
Virginia Tech,1,18,56
Michigan State,0,15,63
Wisconsin,0,15,65
North Carolina,0,20,57
TCU,0,14,63
Arizona State,0,13,66
NC State,0,16,54
Kentucky,1,8,68
UCLA,0,15,64
Purdue,0,13,62
Baylor,0,13,61
Oklahoma State,1,11,66
Missouri,0,12,57
Iowa,0,8,64
Utah,0,8,73
Indiana,1,6,61
Minnesota,0,7,75
Colorado,1,6,71
Virginia,0,7,76
West Virginia,0,8,70
California,0,5,74
Maryland,0,8,65
Duke,0,6,68
Iowa State,1,2,73
Northwestern,0,6,61
Pittsburgh,0,5,67
Georgia Tech,0,5,67
Boise State,0,4,71
Syracuse,0,3,72
Arizona,1,5,64
Illinois,0,4,75
Vanderbilt,0,5,72
Louisville,0,4,68
Rutgers,0,1,77
Wake Forest,0,5,64
Washington State,0,3,64
Central Florida,0,3,69
Boston College,0,2,61
Texas Tech,0,6,57
Kansas State,0,2,73
Oregon State,0,2,70
Kansas,0,3,68
Memphis,0,5,51
Cincinnati,1,1,66
Florida Atlantic,0,3,59
Toledo,0,4,55
South Florida,0,0,62
SMU,0,4,47
Houston,0,4,51
BYU,0,3,48
Marshall,0,2,50
East Carolina,0,1,53
Florida International,0,3,43
Colorado State,0,1,45
Southern Miss,0,1,56
Louisiana Tech,0,1,43
UL-Lafayette,0,3,45
Troy,0,1,48
Western Michigan,0,2,43
North Texas,0,1,43
San Diego State,0,1,40
Middle Tennessee,0,1,38
UTSA,0,1,37
Tulane,0,0,46
Western Kentucky,0,0,42
UAB,0,0,42
Nevada,0,0,43
Fresno State,0,2,36
Temple,0,0,33
Arkansas State,0,2,39
Miami-OH,0,0,35
Utah State,0,0,36
Tulsa,0,1,31
Ohio,0,2,30
Appalachian State,0,0,35
Northern Illinois,0,0,36
Hawaii,0,0,29
Army,0,3,19
Wyoming,0,1,28
Kent State,0,0,30
Georgia State,0,0,25
UNLV,0,0,27
Central Michigan,0,2,20
San Jose State,0,1,19
Georgia Southern,0,0,22
Air Force,0,1,12
Buffalo,0,0,23
Bowling Green,0,1,23
Connecticut,0,1,18
South Alabama,0,1,12
Ball State,0,1,17
Massachusetts,0,0,19
Old Dominion,0,0,17
Rice,0,0,15
Navy,0,0,17
New Mexico,0,0,15
Akron,0,0,19
Charlotte,0,1,13
UTEP,0,0,14
Eastern Michigan,0,0,12
New Mexico State,0,0,12
Texas State,0,1,9
UL-Monroe,0,0,5
Coastal Carolina,0,3,7
Liberty,0,2,8
